Index,Address,Currency,TotalRewards,TimeStart,TimeEnd,TimeAggregation,StartingBalance,ProtocolRewards,TxFeeRewards,MevRewards
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002710,2023-06-07T00:00:00Z,2023-06-07T23:59:59Z,daily,32.011316,0.002710,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002724,2023-06-08T00:00:00Z,2023-06-08T23:59:59Z,daily,32.000563,0.002724,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002693,2023-06-09T00:00:00Z,2023-06-09T23:59:59Z,daily,32.003287,0.002693,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002724,2023-06-10T00:00:00Z,2023-06-10T23:59:59Z,daily,32.005980,0.002724,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002663,2023-06-11T00:00:00Z,2023-06-11T23:59:59Z,daily,32.008704,0.002663,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002678,2023-06-12T00:00:00Z,2023-06-12T23:59:59Z,daily,32.011367,0.002678,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002688,2023-06-13T00:00:00Z,2023-06-13T23:59:59Z,daily,32.000405,0.002688,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002705,2023-06-14T00:00:00Z,2023-06-14T23:59:59Z,daily,32.003094,0.002705,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002696,2023-06-15T00:00:00Z,2023-06-15T23:59:59Z,daily,32.005799,0.002696,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002715,2023-06-16T00:00:00Z,2023-06-16T23:59:59Z,daily,32.008495,0.002715,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002713,2023-06-17T00:00:00Z,2023-06-17T23:59:59Z,daily,32.011210,0.002713,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002702,2023-06-18T00:00:00Z,2023-06-18T23:59:59Z,daily,32.000134,0.002702,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002701,2023-06-19T00:00:00Z,2023-06-19T23:59:59Z,daily,32.002836,0.002701,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002704,2023-06-20T00:00:00Z,2023-06-20T23:59:59Z,daily,32.005537,0.002704,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002673,2023-06-21T00:00:00Z,2023-06-21T23:59:59Z,daily,32.008241,0.002673,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002679,2023-06-22T00:00:00Z,2023-06-22T23:59:59Z,daily,32.010914,0.002679,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002696,2023-06-23T00:00:00Z,2023-06-23T23:59:59Z,daily,32.013592,0.002696,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002699,2023-06-24T00:00:00Z,2023-06-24T23:59:59Z,daily,32.002358,0.002699,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002690,2023-06-25T00:00:00Z,2023-06-25T23:59:59Z,daily,32.005058,0.002690,0.000000,0.000000
